serial_num,Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
10194,931204683,50,F,1,Graduate,Single,MN,91750,no,no,no,cellular,Selfemployeed,10425,5
10195,955413495,46,F,2,High School,Unknown,FL,91750,yes,yes,no,telephone,Govt,20428,3
10196,926366819,51,F,0,Unknown,Married,NJ,91750,no,no,no,cellular,Govt,18977,5
10197,946988891,54,F,5,Unknown,Married,NY,91750,no,yes,no,cellular,Retirees,25060,1
10198,932566259,53,M,4,Graduate,Married,TX,91750,no,no,no,cellular,Businessman,182464,2
10199,931860481,46,M,4,Graduate,Single,NY,91750,no,no,yes,cellular,Businessman,68413,1
10200,929882675,53,F,1,Unknown,Unknown,TX,91750,yes,no,no,cellular,Blue-collar,25533,4
10201,943527510,40,F,2,Unknown,Married,FL,91750,no,yes,no,unknown,Govt,39889,2
10202,916639558,58,F,0,High School,Single,TX,91750,yes,no,no,unknown,Retirees,29513,1
10203,952877527,42,F,4,Uneducated,Single,TX,91750,no,yes,no,telephone,Selfemployeed,92565,5
10204,965133642,40,M,3,Unknown,Married,CA,91750,no,no,no,cellular,Govt,71574,3
10205,943332935,50,M,2,Post-Graduate,Single,TX,91750,no,yes,no,cellular,Selfemployeed,42529,5
10206,911356906,39,M,2,Uneducated,Single,NY,91750,no,yes,no,cellular,Govt,75342,3
10207,914100961,60,M,2,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,69112,5
10208,928202998,57,F,3,Unknown,Single,FL,91750,yes,no,no,unknown,White-collar,25381,5
10209,927325578,43,F,4,Graduate,Single,CA,91750,no,no,no,telephone,Selfemployeed,14975,3
10210,967889522,51,F,3,Graduate,Single,CA,91750,yes,yes,yes,cellular,Blue-collar,43601,4
10211,957165213,46,M,3,Unknown,Married,TX,91750,yes,yes,no,cellular,Govt,86242,4
10212,942626947,40,M,3,Graduate,Married,CA,91750,no,yes,no,cellular,Blue-collar,93722,4
10213,953470068,56,M,2,Unknown,Single,CA,91750,yes,no,no,cellular,Govt,46277,3
10214,922719672,51,M,2,Uneducated,Single,NY,91750,no,no,no,cellular,Businessman,213177,1
10215,931891072,30,F,1,Graduate,Single,TX,91750,no,yes,no,unknown,Businessman,28914,2
10216,946247323,48,F,2,Graduate,Married,CA,91750,no,yes,no,cellular,Selfemployeed,50462,1
10217,930197610,46,F,4,Unknown,Single,TX,91750,no,yes,no,telephone,Selfemployeed,19725,4
10218,949774711,44,F,4,Unknown,Single,NY,91750,no,yes,yes,cellular,Businessman,22353,2
10219,943826301,37,M,2,High School,Unknown,NY,91750,no,no,no,cellular,Businessman,181915,1
10220,940281207,34,F,1,Graduate,Single,NY,91750,no,yes,no,unknown,Selfemployeed,14975,4
10221,917125667,30,M,1,Graduate,Single,CA,91750,no,yes,no,cellular,Retirees,64991,4
10222,943190439,47,M,2,Graduate,Married,TX,91750,yes,yes,no,telephone,Selfemployeed,62659,3
10223,922320730,39,M,5,Unknown,Married,NY,91750,yes,no,no,cellular,Govt,91460,3
10224,929595858,45,F,2,Graduate,Single,CA,91750,yes,no,no,cellular,Selfemployeed,34412,4
10225,959893136,40,F,5,High School,Married,CA,91750,no,yes,no,unknown,Retirees,20517,4
10226,914645436,44,F,3,Graduate,Married,TX,91750,no,yes,no,cellular,Govt,515324,3
10227,955643267,49,M,5,Graduate,Married,TX,91750,yes,yes,no,cellular,Blue-collar,79307,5
10228,930834378,54,F,2,Graduate,Married,TX,91750,yes,no,no,unknown,Selfemployeed,154975,5
10229,941473935,57,M,3,High School,Married,NY,91750,yes,no,no,unknown,White-collar,148310,4
10230,915493311,49,F,4,Doctorate,Married,NY,91750,no,no,no,telephone,Selfemployeed,14975,5
10231,968936158,55,F,2,Graduate,Married,FL,91750,no,no,no,cellular,White-collar,20859,4
10232,933392675,33,M,3,High School,Married,FL,91750,no,no,no,cellular,Businessman,232857,4
10233,928419817,33,M,4,Uneducated,Married,NY,91750,yes,yes,no,unknown,Govt,106036,4
10234,915483449,53,F,2,Unknown,Single,TX,91750,no,no,no,cellular,Retirees,28815,5
10235,946714401,27,F,1,Uneducated,Unknown,NY,91750,no,no,no,unknown,Blue-collar,12519,5
10236,956874871,38,F,2,Unknown,Single,NV,91750,yes,yes,no,unknown,Blue-collar,36543,1
10237,958764892,41,F,2,Unknown,Single,TX,91750,yes,yes,no,cellular,Govt,24181,2
10238,934634748,48,F,3,Doctorate,Married,CA,91750,no,no,no,unknown,Selfemployeed,14975,1
10239,912083085,52,F,1,Graduate,Married,NY,91750,no,no,no,cellular,White-collar,35247,4
10240,911365112,59,M,1,Uneducated,Single,FL,91750,no,yes,no,cellular,Govt,55730,2
10241,953753052,49,F,4,High School,Unknown,NY,91750,yes,yes,no,cellular,Retirees,54460,1
10242,958974616,50,M,3,Unknown,Single,CA,91750,yes,yes,yes,cellular,White-collar,44934,4
10243,950813526,55,M,1,Uneducated,Single,NY,91750,no,no,no,telephone,Govt,78354,5
10244,942716217,43,M,5,Unknown,Married,NY,91750,no,yes,no,cellular,White-collar,71289,3
10245,916095724,56,M,1,Graduate,Married,NY,91750,yes,no,no,cellular,Businessman,102444,5
10246,916347080,65,M,1,Unknown,Married,NY,91750,yes,yes,no,cellular,White-collar,45780,4
10247,933846978,37,F,2,Uneducated,Married,NY,91750,yes,yes,no,cellular,Selfemployeed,17553,5
10248,964803228,51,F,2,Graduate,Married,NY,91750,no,yes,yes,cellular,Retirees,16510,4
10249,948820628,57,M,1,Graduate,Married,CA,91750,yes,no,no,telephone,White-collar,75291,3
10250,941121418,44,F,3,Graduate,Married,CA,91750,no,yes,yes,unknown,Selfemployeed,14975,4
10251,924616697,44,F,1,Graduate,Married,TX,91750,no,yes,no,cellular,White-collar,25573,5
10252,925419962,52,M,2,High School,Married,NJ,91750,yes,no,no,cellular,Businessman,62633,4
10253,940119296,33,F,4,Graduate,Married,CA,91750,no,no,no,cellular,Blue-collar,53007,1
10254,926247280,29,M,1,Graduate,Married,TX,91750,yes,yes,no,unknown,Businessman,15099,2
10255,924777883,37,M,1,Doctorate,Unknown,FL,91750,no,yes,no,cellular,Govt,76303,1
10256,920819113,54,M,1,High School,Married,FL,91750,no,yes,no,cellular,Govt,103784,4
10257,929774594,43,M,2,Doctorate,Single,FL,91750,no,yes,no,cellular,Retirees,98665,2
10258,966406115,50,M,4,Graduate,Single,FL,91750,yes,no,no,cellular,Businessman,199776,1
10259,933574623,44,F,3,Uneducated,Married,FL,91750,yes,no,no,telephone,Businessman,27467,5
10260,912085260,62,F,1,Post-Graduate,Married,NJ,91750,yes,yes,no,telephone,Blue-collar,16745,4
10261,924433213,40,F,3,Uneducated,Unknown,NY,91750,no,no,no,cellular,Businessman,38450,4
10262,953669287,44,F,0,Unknown,Married,TX,91750,yes,yes,no,cellular,Blue-collar,12107,3
10263,946760890,51,M,3,Unknown,Single,TX,91750,yes,no,yes,telephone,Blue-collar,77365,4
10264,929300195,45,M,4,Unknown,Married,FL,91750,no,no,no,cellular,Businessman,222259,5
10265,954136712,44,F,4,Graduate,Married,TX,91750,yes,no,no,cellular,Selfemployeed,14975,5
10266,966386176,43,F,3,High School,Married,TX,91750,no,yes,no,cellular,Selfemployeed,14975,5
10267,911017231,59,M,0,High School,Single,NY,91750,yes,no,no,cellular,Businessman,221178,5
10268,936476946,52,M,2,High School,Single,CA,91750,no,no,no,cellular,Selfemployeed,46225,3
10269,927921459,35,M,3,Doctorate,Single,NJ,91750,no,yes,no,cellular,Govt,54111,1
10270,925316884,57,M,5,High School,Married,FL,91750,yes,no,no,cellular,White-collar,92447,2
10271,924336171,38,M,5,Unknown,Married,TX,91750,yes,yes,no,cellular,Businessman,109333,1
10272,944505505,38,F,3,Graduate,Married,CA,91750,no,no,no,cellular,Blue-collar,18244,4
10273,958702412,33,F,2,Doctorate,Single,NJ,91750,no,no,no,unknown,Selfemployeed,55525,2
10274,958902812,43,F,3,Uneducated,Unknown,TX,91750,yes,no,no,cellular,Retirees,32062,1
10275,959842077,43,F,3,Unknown,Married,CA,91750,yes,no,no,unknown,Blue-collar,21194,4
10276,965083879,38,F,2,Graduate,Single,CA,91750,yes,no,no,cellular,Blue-collar,13255,5
10277,927808848,44,F,3,High School,Unknown,CA,91750,no,yes,no,cellular,Blue-collar,10713,5
10278,966885391,37,F,1,Graduate,Unknown,FL,91750,yes,no,no,unknown,Govt,42733,3
10279,915796666,53,F,2,High School,Married,TX,91750,yes,no,no,cellular,Selfemployeed,57865,5
10280,956387227,49,M,3,High School,Unknown,FL,91750,yes,yes,no,cellular,Retirees,47502,4
10281,916680535,45,F,5,Uneducated,Unknown,FL,91750,no,no,no,cellular,Blue-collar,22975,5
10282,967367842,40,F,1,Graduate,Married,CA,91750,no,yes,no,telephone,Selfemployeed,15525,4
10283,935378181,35,M,3,Graduate,Unknown,TX,91750,yes,yes,yes,cellular,White-collar,104473,4
10284,959015924,37,M,2,High School,Married,FL,91750,no,yes,no,cellular,White-collar,118417,4
10285,931655537,45,M,3,Graduate,Single,VA,91750,no,no,yes,cellular,Blue-collar,103488,4
10286,918979142,40,F,4,Uneducated,Single,CA,91750,no,no,no,cellular,Businessman,31191,5
10287,941614504,44,F,2,Graduate,Married,NJ,91750,no,no,no,cellular,Selfemployeed,14975,4
10288,956303078,44,M,4,Graduate,Single,TX,91750,no,yes,yes,unknown,Govt,112879,5
10289,964474458,38,M,1,High School,Married,NJ,91750,no,no,no,cellular,Businessman,86104,5
10290,962482385,44,F,1,Graduate,Married,CA,91750,yes,no,no,cellular,Retirees,138163,4
10291,919695363,52,F,1,Graduate,Single,NJ,91750,yes,no,no,unknown,Selfemployeed,14975,5
10292,931822111,36,M,2,Unknown,Single,CA,91750,yes,no,no,cellular,White-collar,107853,5
10293,925168075,58,F,2,Graduate,Married,FL,91750,no,yes,no,cellular,Retirees,16680,5
